00001JOÃO PEREIRA        0950088010000450M
00002ANA CAROLINA        1000095010000650F
00011MARCOS SOUZA        0910090010000650M  
00012LARISSA LIMA        0890082010000750F  
00013PEDRO ALBUQUERQUE   0920085010000550M  
00014ISABEL CRUZ         0950091010000450F  
00015RENATO OLIVEIRA     0870087010000350M  
00016JULIA FERREIRA      0930094010000650F  
00017HENRIQUE COSTA      0900083010000750M  
00018TATIANA RAMOS       0960096010000650F  
00019GUSTAVO PIRES       0880081010000550M  
00020CAMILA SANTANA      0940097010000450F
00001JOÃO PEREIRA        0950088010000450M  
00002ANA CAROLINA        1000095010000650F  
00003CARLOS ALMEIDA      0870073010000550M  
00004MARIA EDUARDA       0920086010000350F  
00005LUCAS FERNANDES     0850078010000750M  
00006BEATRIZ COSTA       0900089010000650F  
00007RICARDO SANTOS      0880085010000450M  
00008FERNANDA OLIVEIRA   0930091010000550F  
00009GABRIELA MENDES     0970094010000650F  
00010FELIPE MARTINS      0890082010000750M  
